["port 1","LEFT"]
["port 5","RIGHT"]
["port 6","RIGHT"]
["port 4","RIGHT"]
["port 3","RIGHT"]
["port 2","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9156067603833869e+14 8.9601448027353051e-03 -2.0379921387946554e+00
1.9178642094276097e+14 2.3413020679147198e-03 -1.7782604201231429e+00
1.9201269853362550e+14 8.1627197509620917e-03 -1.6156345946681911e+00
1.9223951069861628e+14 7.2984239692784553e-03 -1.2121055408480261e+00
1.9246685933434703e+14 1.9364942485201463e-03 -1.9283832397603564e+00
1.9269474634641409e+14 5.7816061448270600e-03 -5.7660768294948683e-01
1.9292317364944962e+14 2.7771634348699443e-03 -1.7659364062670662e+00
1.9315214316717531e+14 1.9712980542757226e-03 -1.0009273484422776e+00
1.9338165683245631e+14 9.5748668216139154e-03 -5.7884473379526391e-01
1.9361171658735556e+14 2.7438433047539739e-03 -6.9851218806295334e-01
1.9384232438318872e+14 5.2943073754908960e-03 -1.0717062812745188e+00
1.9407348218057922e+14 5.2216146771074060e-03 -6.5139974997400185e-01
1.9430519194951391e+14 7.7738074597556951e-03 3.3803771940034394e-01
1.9453745566939894e+14 7.5384164998154772e-03 8.5019873777644639e-01
1.9477027532911609e+14 2.7785400958186858e-02 1.7745142304913408e+00
1.9500365292707978e+14 7.6357748891162248e-03 5.4333876676195325e-01
1.9523759047129391e+14 1.4276170786439260e-02 2.9459456796261474e+00
1.9547208997940975e+14 1.5197560785596666e-02 3.6840189546706092e+00
1.9570715347878372e+14 1.7824330466329925e-02 4.9498468011190369e+00
1.9594278300653594e+14 7.7701528804674921e-03 5.6317400473361179e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9156067603833869e+14 9.6100014706014172e-03 1.3236455422226581e+00
1.9178642094276097e+14 2.9583654832571350e-03 4.3046570369405597e+00
1.9201269853362550e+14 4.5222852225519561e-03 2.3315611273474257e+00
1.9223951069861628e+14 8.8413566484164168e-04 2.4339918889725323e+00
1.9246685933434703e+14 1.4296494924515275e-02 5.1148907037112856e+00
1.9269474634641409e+14 8.2378557177112974e-04 6.8755950087125166e+00
1.9292317364944962e+14 4.2306565235377411e-03 9.0033808010184426e+00
1.9315214316717531e+14 1.9904083276013830e-03 6.5082883053616136e+00
1.9338165683245631e+14 6.3911467329439420e-03 7.0952003208422232e+00
1.9361171658735556e+14 3.2404888987845552e-03 8.6993154039662155e+00
1.9384232438318872e+14 4.2203533919122280e-03 9.3916329603815978e+00
1.9407348218057922e+14 5.1324032626804900e-03 9.5548001593341958e+00
1.9430519194951391e+14 7.0753969439255673e-03 9.6228636382498394e+00
1.9453745566939894e+14 8.3806211047607933e-03 9.9440508341300244e+00
1.9477027532911609e+14 2.9329823460518155e-03 1.0306850596984189e+01
1.9500365292707978e+14 8.1962599824157607e-03 1.2936205637116286e+01
1.9523759047129391e+14 1.3434306749688398e-02 1.2321093395533174e+01
1.9547208997940975e+14 1.3924865666751647e-02 1.3036872180021268e+01
1.9570715347878372e+14 1.4031790660316325e-02 1.2078268037109453e+01
1.9594278300653594e+14 8.1329342918452664e-03 1.1727867180385665e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9156067603833869e+14 4.9103100033529629e-01 -2.5417771257793289e+00
1.9178642094276097e+14 4.8118954966714644e-01 -5.3509533712207658e+00
1.9201269853362550e+14 4.7761724541294348e-01 -8.1494679797432568e+00
1.9223951069861628e+14 4.8474634172628406e-01 -1.0957831631072743e+01
1.9246685933434703e+14 4.1854909243975491e-01 -1.3219070702336353e+01
1.9269474634641409e+14 4.8567015281073239e-01 -1.0230204053048530e+01
1.9292317364944962e+14 4.8687684903557349e-01 -1.2996715146555328e+01
1.9315214316717531e+14 4.8278487351924160e-01 -1.5402863531515715e+01
1.9338165683245631e+14 3.4788489778537146e-01 -1.8058418781556750e+01
1.9361171658735556e+14 4.8244391679339321e-01 -1.4958669251965793e+01
1.9384232438318872e+14 4.8614658997034255e-01 -1.7688767626614620e+01
1.9407348218057922e+14 5.2339196977323577e-01 -2.0113760732464584e+01
1.9430519194951391e+14 4.7697530668131638e-01 -2.3133648079026116e+01
1.9453745566939894e+14 4.6695968463364462e-01 -2.5826019639246088e+01
1.9477027532911609e+14 4.6924230079719687e-01 -2.8531068145513814e+01
1.9500365292707978e+14 4.6728057419605479e-01 -3.1209361671364828e+01
1.9523759047129391e+14 4.3155045413584364e-01 -3.3552675587313416e+01
1.9547208997940975e+14 4.5698876249168036e-01 -3.6583415248401757e+01
1.9570715347878372e+14 4.3190366985198314e-01 -3.8965997998276578e+01
1.9594278300653594e+14 3.5007963399058639e-01 -4.1665787429690482e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9156067603833869e+14 4.8803258338357147e-01 1.3379823621213083e+00
1.9178642094276097e+14 4.9437103410501915e-01 -1.4663507185710938e+00
1.9201269853362550e+14 4.9665790689539169e-01 -4.2581588425990935e+00
1.9223951069861628e+14 4.9786453366277900e-01 -7.0451111596227944e+00
1.9246685933434703e+14 5.0453880674279050e-01 -9.8202366735511450e+00
1.9269474634641409e+14 5.0004116461731474e-01 -1.2592467142529250e+01
1.9292317364944962e+14 5.0073704773738248e-01 -1.5351959035639000e+01
1.9315214316717531e+14 5.0029661556076188e-01 -1.8107077775339484e+01
1.9338165683245631e+14 5.0234171399259053e-01 -2.0842293478735343e+01
1.9361171658735556e+14 4.9215736862459386e-01 -2.3586256432565467e+01
1.9384232438318872e+14 4.8535476496417612e-01 -2.6320116777707341e+01
1.9407348218057922e+14 4.8139570008964289e-01 -2.9035231279827006e+01
1.9430519194951391e+14 4.7776647806576961e-01 -3.1753479790794305e+01
1.9453745566939894e+14 4.7131267906911672e-01 -3.4464110088923022e+01
1.9477027532911609e+14 4.6280155141035445e-01 -3.7168489997750108e+01
1.9500365292707978e+14 4.6215909950209200e-01 -3.9862987409793440e+01
1.9523759047129391e+14 4.5687479015970067e-01 -4.2534771988773038e+01
1.9547208997940975e+14 4.5514665190268638e-01 -4.5208814766299909e+01
1.9570715347878372e+14 4.4990391058703433e-01 -4.7882981480052521e+01
1.9594278300653594e+14 4.4591557468985688e-01 -5.0607768325364503e+01
("port 1","mode 1",1,"port 5",1,"transmission")
(20, 3)
1.9156067603833869e+14 4.5995391505081495e-01 -1.7634200467398977e+00
1.9178642094276097e+14 4.6483540604615492e-01 -4.5778684615525176e+00
1.9201269853362550e+14 4.6664984782533553e-01 -7.3970406796302566e+00
1.9223951069861628e+14 4.6967423975085826e-01 -1.0194639773251385e+01
1.9246685933434703e+14 4.7300582951214754e-01 -1.2984053030494550e+01
1.9269474634641409e+14 4.7715477189069638e-01 -1.5759848222032446e+01
1.9292317364944962e+14 4.8083021164025519e-01 -1.8526146347278505e+01
1.9315214316717531e+14 4.7926094186402424e-01 -2.1291618501870268e+01
1.9338165683245631e+14 4.8185077124163489e-01 -2.4041903252780969e+01
1.9361171658735556e+14 4.8672921749427939e-01 -2.6769498242940056e+01
1.9384232438318872e+14 4.8539895917094311e-01 -2.9507673067929616e+01
1.9407348218057922e+14 4.8753545031729412e-01 -3.2219960087133558e+01
1.9430519194951391e+14 4.8988744208279145e-01 -3.4934272848383088e+01
1.9453745566939894e+14 4.8559074262690372e-01 -3.7632265865883191e+01
